CB,Localisation,Cote,Sous-localisation,Type de document,Titre,Auteur,Editeur,Date de publication,Date de création
*880862727350*,AUSTFORM,FP 384.3 COM,,FORM,Assistant territorial (qualifié) de conservation du patrimoine et des bibliothèques,"Jean-Yves Thiébault, Françoise Thiébault-Roger",Vuibert,2010,02/09/2010
*880862845622*,AUSTSOCI,020 MAN,,DOA,Manuel de la numérisation,sous la direction de Thierry Claerr et Isabelle Westeel,Éd. du Cercle de la librairie,2011,09/07/2011
*880862846778*,AUSTSOCI,302.2 GER,,DOA,Dictionnaire de la désinformation,François Géré,A. Colin,2011,06/07/2011
*880862878432*,AUSTSOCI,384.3 COM,,DOA,Préparer le concours de chargé d'études documentaires,"Clotilde Vaissaire-Agard, Françoise Quaire",Éd. Klog,2011,18/10/2011
*880863005273*,AUSTFORM,FP 384.3 CAT C,,FORM,Adjoint territorial du patrimoine,Jérôme Brunet,Vuibert,2011,23/11/2011
*880863005285*,AUSTFORM,FP 384.3 CAT C,,FORM,Adjoint territorial du patrimoine,Jérôme Brunet,Vuibert,2011,23/11/2011
*880863010248*,AUSTFORM,FP 020 COE,,FORM,Les archives,Sophie Coeuré et Vincent Duclert,la Découverte,2011,24/11/2011
*880863076613*,AUSTSOCI,025 PET,,DOA,Itinéraire d'une bibliothécaire,"Catherine Petit, Martine Bosshardt",l'Harmattan,2012,20/07/2012
*880863077348*,AUSTFORM,FP 027 CHE,,FORM,Stratégies numériques,Emmanuelle Chevry,Hermès science publications-Lavoisier,2011,26/10/2012
*880863078890*,AUSTSOCI,020 PRO,,DOA,Les professeurs documentalistes,coordonné par Michèle Briziou,CRDP d'Orléans,2011,20/07/2012
,,,,,,,Scéren,2011,
*880863124064*,AUSTSOCI,384.3 COM,,DOA,Assistant des bibliothèques,Jérôme Brunet,Vuibert,2010,08/12/2010
*880863124105*,AUSTSOCI,384.3 COM,,DOA,"Bibliothécaire adjoint spécialisé, BAS","Valérie Caron, Laurent Dierckens",Vuibert,2010,08/12/2010
*88086316943X*,AUSTFORM,FP 384.3 COM,,FORM,Assistant des bibliothèques,Jérôme Brunet,Vuibert,2010,03/05/2011
*880863169465*,AUSTFORM,FP 384.3 CAT B,,FORM,Assistant des bibliothèques,Jérôme Brunet,Vuibert,2010,04/05/2011
*88086319682X*,AUSTFORM,FP 384.3 COM,,FORM,Préparer le concours de chargé d'études documentaires,"Clotilde Vaissaire-Agard, Françoise Quaire",Éd. Klog,2011,21/09/2011
*880863217240*,AUSTFORM,FP 027 ENJ,,FORM,Enjeux politiques du document numérique,sous la direction de Évelyne Broudoux et Ghislaine Chartron,ADBS éd.,2010,24/11/2011
*880863225400*,AUSTACTU,020 GER,,ORA,Dictionnaire de la désinformation,François Géré,A. Colin,2011,06/12/2011
*880863278012*,AUSTFORM,FP 384.3 BRU,,FORM,"Magasinier principal des bibliothèques, 2e classe","Jérôme Brunet,...",Vuibert,2012,04/04/2012
*880863278036*,AUSTFORM,FP 384.3 CAT C,,FORM,"Magasinier principal des bibliothèques, 2e classe","Jérôme Brunet,...",Vuibert,2012,04/04/2012
*880863283968*,AUSTSOCI,384.3 COM,,DOA,Assistant des bibliothèques,Jérôme Brunet,Vuibert,2011,21/03/2012
*880863300650*,AUSTSOCI,384.3 COM,,DOA,Adjoint territorial du patrimoine,Jérôme Brunet,Vuibert,2011,09/12/2011
*880863329723*,AUSTSOCI,384.3 COM,,DOA,Réussir le CAPES interne de documentation,"Bernard Heizmann, Élodie Royer",SCÉRÉN-CRDP Académie de Lorraine,2011,21/03/2012
*880863415536*,AUSTSOCI,384.3 COM,,DOA,"Magasinier principal des bibliothèques, 2e classe","Jérôme Brunet,...",Vuibert,2012,15/02/2013
*880863426966*,AUSTSOCI,384.3 COM,,DOA,Assistants territoriaux de conservation du patrimoine et des bibliothèques,Pierre Maubé,Groupe Studyrama,2013,27/03/2013
*880863427129*,AUSTSOCI,384.3 COM,,DOA,Réussir le CAPES externe de documentation,"Bernard Heizmann, Élodie Royer",SCÉRÉN-CNDP-CRDP de Lorraine,2012,27/03/2013
*880863477592*,AUSTFORM,FP 384.3 COM,,FORM,Assistants territoriaux de conservation du patrimoine et des bibliothèques,Pierre Maubé,Groupe Studyrama,2013,05/06/2013
*880863504804*,AUSTFORM,FP 025 MET,,FORM,Le métier de bibliothécaire,Association des bibliothécaires de France,Éd. du Cercle de la librairie,2013,26/06/2013
*880863504906*,AUSTSOCI,020 MET,,DOA,Le métier de bibliothécaire,Association des bibliothécaires de France,Éd. du Cercle de la librairie,2013,21/06/2013
*880863546288*,AUSTFORM,FP 384.3 CAT A,,FORM,Préparer le concours de bibliothécaire,"Clotilde Vaissaire-Agard, Françoise Quaire, Alain Patez",Éd. Klog,2013,24/09/2013
*880863557837*,AUSTFORM,FP 384.3 CAT B,,FORM,Assistant territorial (principal) de conservation du patrimoine et des bibliothèques,"Albane Lejeune, Delphine Pointeau",Vuibert,2013,24/09/2013
*880863557849*,AUSTFORM,FP 384.3 CAT B,,FORM,Assistant territorial (principal) de conservation du patrimoine et des bibliothèques,"Albane Lejeune, Delphine Pointeau",Vuibert,2013,24/09/2013
*880863557850*,AUSTFORM,FP 025 MET,,FORM,Le métier de bibliothécaire,Association des bibliothécaires de France,Éd. du Cercle de la librairie,2013,24/09/2013
*880863557862*,AUSTFORM,FP 384.3 CAT B,,FORM,Assistant territorial (principal) de conservation du patrimoine et des bibliothèques,"Albane Lejeune, Delphine Pointeau",Vuibert,2013,24/09/2013
*880863557886*,AUSTFORM,FP 025 MET,,FORM,Le métier de bibliothécaire,Association des bibliothécaires de France,Éd. du Cercle de la librairie,2013,24/09/2013
*880863559542*,AUSTSOCI,384.3 COM,,DOA,Préparer le concours de bibliothécaire,"Clotilde Vaissaire-Agard, Françoise Quaire, Alain Patez",Éd. Klog,2013,12/09/2013
